epoch,phase,lr,train_loss,train_acc,val_loss,val_acc,f1_macro,duration
0,head,0.001,1.3031058067725936,0.43866171003717475,1.1501142596298795,0.5471698113207547,0.5460606060606061,5.5531535148620605
1,head,0.001,0.707222962468087,0.7509293680297398,1.012199118452252,0.5471698113207547,0.5410606060606061,2.2418298721313477
2,head,0.001,0.5478203086161703,0.8141263940520446,0.9832584970402267,0.5660377358490566,0.5672610507617681,1.9098079204559326
3,head,0.001,0.49142184244212606,0.828996282527881,0.871592474433611,0.6792452830188679,0.6651082251082251,2.282959461212158
4,head,0.001,0.41593938445513134,0.8698884758364313,0.9234935944935061,0.6792452830188679,0.6798391151332328,1.9225075244903564
5,head,0.001,0.35752098755322426,0.8698884758364313,0.8719322658934683,0.6792452830188679,0.6840651177493282,2.02228045463562
6,head,0.001,0.3668845971720813,0.8810408921933085,0.7688480773062076,0.7169811320754716,0.7196817615935263,2.0675089359283447
7,head,0.001,0.3025684387710458,0.9144981412639405,0.6958872912065038,0.7735849056603774,0.7803565365025467,2.199946403503418
8,head,0.001,0.2501374166251115,0.9368029739776952,0.7298839103500798,0.7169811320754716,0.7332480818414322,2.132514476776123
9,head,0.001,0.36703503220497896,0.8698884758364313,0.665767103995917,0.7924528301886793,0.796140350877193,2.3424928188323975
10,ft,0.001,0.2857737508515886,0.9182156133828996,0.5920648338659754,0.8113207547169812,0.8116518218623483,2.503028631210327
11,ft,0.001,0.29695331485298043,0.8921933085501859,0.6982210199787932,0.660377358490566,0.6730827067669173,1.8985016345977783
12,ft,0.001,0.25328387436370425,0.9144981412639405,0.6210576554514328,0.7547169811320755,0.7529591323708971,3.182067632675171
13,ft,0.001,0.18164364938177585,0.966542750929368,0.6004831869647188,0.7924528301886793,0.7913052089522677,1.6824164390563965
14,ft,0.0001,0.15786730921844566,0.9516728624535316,0.6420294102632774,0.7735849056603774,0.7707792207792208,1.7373991012573242
15,ft,0.0001,0.16997810588893394,0.929368029739777,0.6280993706775162,0.7735849056603774,0.7694847020933977,1.9846746921539307
